,,206 - eastern shore,,2/26/26,,,,,,,,2.27,,,,Cases,Bags, Cost 
11,ONION , 028740 - 2.49 Onion Ring, $ 1.79 ,16,,,,,,,,,0, $ -   ,,,,
,,,,,,,,,,,,0,0, $ -   ,,,,
,,4.79 PRODUCTS,,,,,,,,,,,,,,,,
,,Description, price ,Bags,Cases,Units,Gross $,Discount $,Promo $,Net $,,,Bags, Cost ,,,,
1,DIPSY, 028469 - 4.79 Dipsy Dodl, $ 3.39 ,10,51.79,504,1708.56,0.00,432.54,1276.02,,,0, $ -   ,,,,
2,DISPSY, 028136 - 4.79 BBQ Dipsy, $ 3.39 ,10,46.92,563,1908.57,0.00,505.10,1403.47,,,0, $ -   ,,,,
3,DOODLE, 028441 - 4.79 Crunchy Do, $ 3.39 ,9,38.00,380,1288.20,0.00,325.20,963.00,,20,180, $ 610.20 ,,,,
4,PUFF, 028718 - 4.79 Hot/hny Pf, $ 3.39 ,12,17.50,210,711.90,0.00,190.20,521.70,,11,132, $ 447.48 ,,,,
5,PUFF, 028443 - 4.79 Puff Doodl, $ 3.39 ,12,13.00,78,660.66,0.00,114.12,546.54,,6,72, $ 244.08 ,,,,
6,RIDGIES, 028754 - 4.79 Pln Ridgie, $ 3.39 ,12,31.92,383,1298.37,0.00,350.54,947.83,,,0, $ -   ,20,,,
7,RIDGIES, 028756 - 4.79 Ch/sc Ridg, $ 3.39 ,12,2.78,50,89.50,0.00,0.00,89.50,,,0, $ -   ,20,,,
8,RIDGIES, 028755 - 4.79 Sc/o Ridg, $ 3.39 ,12,3.94,71,127.09,0.00,0.00,127.09,,,0, $ -   ,10,,,
9,POPCORN, 027452 - 4.79 Wht Ched Pop, $ 3.39 ,10,1.00,24,55.92,0.00,0.00,55.92,,21,210, $ 711.90 ,20,,,
10,POPCORN, 028290 - 4.79 Hot Popcrn, $ 3.39 ,10,17.00,102,863.94,0.00,140.10,723.84,,5,50, $ 169.50 ,,,,
11,POPCORN, 027453 - 4.79 Butter Pop, $ 3.39 ,10,38.00,456,1545.84,0.00,397.80,1148.04,,28,280, $ 949.20 ,20,,,
12,CHIPS , 028666 - 4.79 BBQ Chips, $ 3.39 ,12,32.00,320,1084.80,0.00,295.60,789.20,,,0, $ -   ,,,,
13,CHIPS, 028667 - 4.79 Honey BBQ, $ 3.39 ,12,56.00,2352,846.72,0.00,0.00,846.72,,20,240, $ 813.60 ,10,,,
14,CHIPS, 028664 - 4.79 L/salt Chp, $ 3.39 ,12,77.92,935,3169.65,0.00,823.14,2346.51,,,0, $ -   ,,,,
15,CHIPS, 028663 - 4.79 Gold Plain Chip, $ 3.39 ,12,23.83,286,969.54,0.00,207.24,762.30,,20,240, $ 813.60 ,need 40,,,
16,CHIPS, 028668 - 4.79 O/g Chip, $ 3.39 ,12,95.42,1145,3881.55,0.00,930.38,2951.17,,,0, $ -   ,,,,
17,ONION, 028751 - 4.79 Onion Ring, $ 3.39 ,12,6.00,108,193.32,0.00,15.66,177.66,,15,180, $ 610.20 ,20,,,
,,,,,,,,,,,,146,1584," $ 5,369.76 ",,,,
,,SALSA, price ,Bags,Cases,Units,Gross $,Discount $,Promo $,Net $,,Cases,Bags, Cost ,,,,
1,Onion, 028163 - 4.99 F/onion Dp, $ 3.59 ,12,5.00,90,161.10,0.00,0.00,161.10,,,0, $ -   ,,,,
2,Cheese, 028168 - 4.99 Con Queso, $ 3.59 ,12,4.89,88,157.52,0.00,0.00,157.52,,,0, $ -   ,,,,
3,Tomato,428819 Wise Chunky Salsa Med 15oz  4.99  Salsa, $ 3.59 ,12,,,,,,,,,0, $ -   ,,,,
4,Tomato,28818 Wise Chunky Salsa Mild 15oz, $ 3.59 ,12,,,,,,,,,0, $ -   ,,,,
5,, 027657 - 3.19 Rf Kettle, $ 2.30 ,15,,,,,,,,,0, $ -   ,,,,
6,Cheese, 028200 - 3.29 Nacho Ch.d, $ 2.33 ,24,,,,,,,,,0, $ -   ,,,,
7,Onion, 028206 - 3.29 Fr.on. Dip, $ 2.33 ,24,,,,,,,,,0, $ -   ,,,,
8,Onion, 027078 - .99 Gr.onion Dp, $ 0.88 ,12,,,,,,,,,0, $ -   ,,,,
,,,,,,,,,,,,0,0, $ -   ,,,,
,,VARIETY PACK, price ,Bags,Cases,Units,Gross $,Discount $,Promo $,Net $,,Cases,Bags, Cost ,,,,
1,V/pk, 028678 - 10.99 Flv V/pk, $ 8.47 ,6,6.00,96,171.84,0.00,13.92,157.92,,5,30, $ 254.10 ,,,,
2,V/pk, 028677 - 10.99 V/pack, $ 8.47 ,6,10.00,160,286.40,0.00,9.28,277.12,,18,108, $ 914.76 ,,,,
3,V/pk, 027620 - 50 Ct Variety P, $ 14.90 ,1,18.00,288,515.52,0.00,4.64,510.88,,,0, $ -   ,,,,
,,,,,,,,,,,,23,138," $ 1,168.86 ",,,,
,,CRUNCH TIME , price ,Bags,Cases,Units,Gross $,Discount $,Promo $,Net $,,Cases,Bags, Cost ,,,,
1,Crunch T, 200097 - Caramel Pop, $ 0.69 ,24,1.00,24,16.56,0.00,0.00,16.56,,,0, $ -   ,,,,
2,Crunch T, 200100 - Kettle Corn, $ 0.69 ,24,24,24,24,24,24,24,24,,0, $ -   ,,,,
3,Crunch T,200101 - Cotton candie, $ 0.69 ,24,24,24,24,24,24,24,24,,0, $ -   ,,,,
4,,Popcorn Candy, $ 0.69 ,24,,,,,,,,,0, $ -   ,,,,
,,,,,,,,,,,,0,0, $ -   ,,,,
,,CANDY , price ,Bags,Cases,Units,Gross $,Discount $,Promo $,Net $,,Cases,Bags, Cost ,,,,
1,, 777713 - Gummy Bear 6 Oz, $ 2.50 ,16,1.00,16,40.00,0.00,0.00,40.00,,,0, $ -   ,,,,
2,, 777720 - Watermelon 6 Oz, $ 2.50 ,16,1.00,16,40.00,0.00,0.00,40.00,,,0, $ -   ,,,,
3,, 777723 - Nord Fish 6 Oz, $ 2.50 ,16,1.00,16,40.00,0.00,0.00,40.00,,,0, $ -   ,,,,
4,, 777771 - Strawberry 6 Oz, $ 2.50 ,16,1.00,16,40.00,0.00,0.00,40.00,,,0, $ -   ,,,,
